,num_topics,scenario_r2,2,3,4,5,6,7,8
473,7,0.016763604986271274,021,177,131,064,097,049,016
474,7,0.02720030622625136,183,182,168,077,060,120,070
475,7,0.02478515301465367,106,150,078,187,071,090,003
476,7,0.010206862275658035,116,089,061,026,099,011,057
477,7,0.021180834339153853,144,075,160,169,042,023,166
478,7,0.03683278064535345,099,149,164,131,150,051,072
479,7,0.032587186010561986,142,102,074,141,043,097,091
480,7,0.050660827768871375,061,189,104,155,181,198,038
481,7,0.00908351984121325,018,012,087,192,108,058,117
482,7,0.035267812330967874,101,183,069,052,120,056,072
483,7,0.03504707050480027,061,173,080,052,000,081,089
484,7,0.02810345407651027,031,063,119,016,022,080,151
485,7,0.016015092397898223,050,047,189,168,041,069,043
486,7,0.027953812379436616,140,123,121,108,071,137,019
487,7,0.025818514257916703,147,184,195,019,193,191,078
488,7,0.036770447977838905,098,172,044,076,140,022,027
489,7,0.026562608146137756,073,037,133,170,150,071,081
490,7,0.03334368692684253,164,053,069,098,120,063,091
491,7,0.0466800533446049,105,146,092,025,131,153,054
492,7,0.03454228797061554,073,120,190,163,099,108,158
493,7,0.0324923087631821,105,047,012,184,134,114,001
494,7,0.023874724807522285,113,183,109,083,181,105,156
495,7,0.014173844009625514,080,032,087,023,088,069,104
496,7,0.01696126959012345,156,132,134,170,079,052,142
497,7,0.042481464330226815,072,195,137,104,017,120,132
498,7,0.04612822502425251,183,150,115,121,181,051,097
499,7,0.04126820349412186,174,041,127,044,098,033,006
500,7,0.020797572224121263,091,034,153,172,178,013,106
501,7,0.04734085366178564,066,148,141,033,076,047,021
502,7,0.05127043675991294,155,029,060,038,003,039,043
503,7,0.02527600560986598,053,168,176,108,084,189,062
504,7,0.054397130012759476,048,144,027,132,029,140,157
505,7,0.039589835347389135,022,021,091,105,190,066,059
506,7,0.03566984301672227,167,164,080,134,059,137,001
507,7,0.01007548090048549,026,142,047,084,036,189,167
508,7,0.03144526484153842,022,161,102,133,026,119,070
509,7,0.01627547622031089,045,051,060,122,000,170,011
510,7,0.012299412829757217,042,078,035,003,108,038,124
511,7,0.023380529598484023,050,055,003,029,170,007,016
