,topic_01,topic_02,topic_03,scenario_r2
682,115,027,195,0.00892864128477533
683,105,134,181,0.013637323309200977
684,018,003,073,0.013740947534199632
685,113,089,023,0.01816526844826627
686,142,121,163,0.007773678751259672
687,044,169,051,0.014271052582598753
688,166,074,057,0.010274673495749065
689,173,069,134,0.013201220164530403
690,193,039,147,0.02842005692931837
691,143,114,136,0.022273640690535834
692,056,082,164,0.012868884994313934
693,075,053,041,0.009003937569744713
694,072,082,005,0.023484726131585254
695,160,069,120,0.005096503928013418
696,166,120,013,0.006918388783936358
697,050,026,049,0.029619930060027055
698,004,142,044,0.025550303987902923
699,114,032,055,0.018070389306143464
700,012,146,064,0.005510881169455084
701,103,125,082,0.013613287809144725
702,183,041,166,0.0029414616874183785
703,185,017,156,0.0202476328787089
704,199,081,123,0.04463478529229459
705,082,157,085,0.010021855411476488
706,029,005,089,0.04234153559636855
707,107,141,131,0.0007458946606079264
708,105,080,041,0.022729699002337678
709,136,115,143,0.021528484125553304
710,049,054,067,0.02928999860638415
711,081,185,012,0.004567760382682029
712,026,058,051,0.016487762904524694
713,102,115,039,0.010015996252297876
714,011,157,060,0.008782539286633528
715,140,123,163,0.04492329526864125
716,115,050,107,0.017405847368592964
717,184,079,045,0.004459432942487407
718,144,019,046,0.025003707746308335
719,058,052,079,0.004154805108939064
720,044,151,011,0.011093657758904918
721,061,187,114,0.001520248903480903
722,071,006,018,0.0033830763425609645
723,075,067,037,0.008958953682725257
724,060,184,003,0.01849122608883913
725,101,125,129,0.01783778810243719
726,043,069,072,0.011265114365920148
727,081,165,059,0.008033365172797624
728,021,151,168,0.006048076099848254
729,065,198,187,0.004210436856154631
730,040,038,114,0.0010821716156258487
731,033,129,013,0.01270291465169382
732,050,080,108,0.032788801760753605
733,040,124,132,0.0053365980058657225
734,098,159,115,0.008894473236617961
735,038,007,101,0.015901324745784207
736,091,088,114,0.0216178198150061
737,022,187,192,0.00019131536303884644
738,190,032,060,0.014822441572859946
739,150,047,024,0.0034929673790961013
740,006,194,087,0.012774555297942136
741,138,008,123,0.044771472023760084
742,088,065,044,0.026478911390098836
743,090,173,033,0.01893766309339684
