,num_topics,scenario_r2,2,3,4,5
509,4,0.008855301082550615,157,075,071,047
510,4,0.041493999533267045,177,063,075,059
511,4,0.00984605010719819,035,061,169,027
512,4,0.03524568349307666,199,063,004,051
513,4,0.017680712119351738,069,152,195,096
514,4,0.022650512264674516,032,173,181,141
515,4,0.004855159814106891,061,041,129,071
516,4,0.024540847010544597,063,172,131,102
517,4,0.010799369108064227,161,019,082,012
518,4,0.027094114779967593,172,147,148,045
519,4,0.01518749129664243,190,184,182,105
520,4,0.011145712343554992,092,006,007,151
521,4,0.009222645454670442,022,107,116,043
522,4,0.029187622927081214,101,037,098,161
523,4,0.017700234929535097,150,109,019,136
524,4,0.006694880146898674,071,079,087,117
525,4,0.0047066953936653055,047,085,105,014
526,4,0.02210857109313069,140,130,039,108
527,4,0.04818058808132519,127,116,013,144
528,4,0.03185535352360147,120,101,058,177
529,4,0.019774741344990354,057,152,109,118
530,4,0.029346061508247145,171,148,185,149
531,4,0.008584343285305995,138,096,103,194
532,4,0.011890503982273648,195,042,038,097
533,4,0.03367716115048247,191,035,174,075
534,4,0.015428050097545887,061,039,052,073
535,4,0.0030596894838540445,160,071,193,048
536,4,0.012227036578644213,109,148,077,167
537,4,0.02711621697902189,085,170,149,065
538,4,0.047828050627331975,123,069,140,150
539,4,0.014191422059726677,091,141,051,003
540,4,0.016630755159585675,082,107,169,083
541,4,0.012798574960654951,140,171,170,176
542,4,0.027063577073260348,004,015,194,066
543,4,0.003613890231420891,172,068,125,107
544,4,0.006125698715414574,124,032,053,081
545,4,0.011897099618688345,074,106,081,170
546,4,0.027183157761710985,165,062,192,003
547,4,0.02200329229136999,193,106,026,182
548,4,0.02101341635675802,106,004,032,048
549,4,0.03185408374973642,005,183,098,166
550,4,0.027541939590921105,003,160,092,013
551,4,0.003972736867118742,110,102,183,024
552,4,0.005075765343351302,041,078,172,019
553,4,0.015980962092150386,050,074,199,114
