,num_topics,scenario_r2,2,3,4,5,6,7
461,6,0.018431402074313596,057,193,168,194,067,098
462,6,0.024024003519018677,169,038,187,091,076,166
463,6,0.01729632628947675,163,097,161,130,170,063
464,6,0.02586816596255448,056,198,077,101,049,121
465,6,0.027074056545886904,099,121,029,164,072,013
466,6,0.01877204620193562,049,142,087,119,198,053
467,6,0.015964515485100472,014,051,105,039,194,013
468,6,0.017918823664380135,055,125,080,119,118,056
469,6,0.028804778139075005,079,054,023,006,143,072
470,6,0.021552477293462657,182,102,012,172,088,098
471,6,0.0424959137591957,183,106,198,085,007,157
472,6,0.047434336130550925,070,110,165,184,157,161
473,6,0.026642882952132685,140,065,098,117,025,099
474,6,0.038173931968062735,057,054,067,194,079,195
475,6,0.013202654834184147,004,143,042,103,088,038
476,6,0.009670651454862234,038,148,138,096,140,169
477,6,0.018039167115745602,167,184,088,029,072,021
478,6,0.02448952062430465,167,001,014,053,060,114
479,6,0.03798562109651238,037,189,101,051,083,078
480,6,0.03199300104587122,033,017,001,149,057,147
481,6,0.037219350327596934,024,026,188,055,123,023
482,6,0.0323781038777472,079,190,025,193,184,014
483,6,0.02330601674595989,023,104,066,059,149,168
484,6,0.025866890120245345,082,113,178,098,001,132
485,6,0.04246670847176537,008,148,173,133,185,153
486,6,0.029872411978985047,043,035,007,105,187,120
487,6,0.056384630749999776,101,065,062,132,173,090
488,6,0.018611859270399767,161,193,022,137,048,090
489,6,0.05770671916633496,018,046,044,157,194,034
490,6,0.028876788824770405,063,036,136,018,017,055
491,6,0.030793159909791812,122,038,102,034,041,044
492,6,0.024141621895286902,118,117,074,079,177,189
493,6,0.034718658134433644,034,032,146,069,011,183
494,6,0.0547270328419589,054,188,181,052,039,157
495,6,0.031127797014753433,039,044,031,079,059,132
496,6,0.014299674637871518,057,069,094,134,132,032
497,6,0.023921788591552695,101,158,106,183,161,191
498,6,0.024922166529871004,042,141,110,084,069,166
499,6,0.01838709388942328,142,055,161,051,149,174
500,6,0.038939906411751046,136,080,073,147,006,033
501,6,0.01989909904656062,121,170,108,013,132,029
502,6,0.029129276773914636,134,055,089,187,001,168
503,6,0.026123602727380013,109,164,129,000,165,006
504,6,0.03644654565318961,123,075,196,077,130,085
505,6,0.053572733570610764,019,045,099,161,029,155
506,6,0.03129075222651112,146,136,108,117,052,047
507,6,0.04719584362276974,096,172,083,187,171,173
508,6,0.04328449841462856,031,129,036,115,047,044
509,6,0.01390315331851788,004,171,046,134,149,142
510,6,0.023748275761758864,046,196,166,152,017,081
511,6,0.026786151979883543,117,133,037,060,195,045
512,6,0.009118804450957474,125,105,049,185,035,058
513,6,0.03098115520310174,113,058,007,029,134,105
514,6,0.04398279646661252,084,157,152,047,109,031
